[DemeterDJTest#found_one_instance() - Before] - Heap: Used 3131 MB, Max 7984 MB | Non-Heap: Used 20 MB
[DemeterDJTest#found_one_instance() - After] - Heap: Used 2369 MB, Max 7984 MB | Non-Heap: Used 24 MB
[DemeterDJTest#found_one_instance() - Before] - Heap: Used 2409 MB, Max 7984 MB | Non-Heap: Used 20 MB
[DemeterDJTest#found_one_instance() - After] - Heap: Used 2881 MB, Max 7984 MB | Non-Heap: Used 24 MB
[DemeterDJTest#found_one_instance() - Before] - Heap: Used 2317 MB, Max 7984 MB | Non-Heap: Used 20 MB
[DemeterDJTest#found_one_instance() - After] - Heap: Used 2793 MB, Max 7984 MB | Non-Heap: Used 24 MB
[IntrospectorFilterTest#found_one_instance_full_shared_node() - Before] - Heap: Used 2905 MB, Max 7984 MB | Non-Heap: Used 18 MB
[IntrospectorFilterTest#found_one_instance_full_shared_node() - After] - Heap: Used 2097 MB, Max 7984 MB | Non-Heap: Used 22 MB
[IntrospectorFilterTest#found_one_instance_full_shared_node() - Before] - Heap: Used 2815 MB, Max 7984 MB | Non-Heap: Used 18 MB
[IntrospectorFilterTest#found_one_instance_full_shared_node() - After] - Heap: Used 2289 MB, Max 7984 MB | Non-Heap: Used 22 MB
[IntrospectorFilterTest#found_one_instance_full_shared_node() - Before] - Heap: Used 2207 MB, Max 7984 MB | Non-Heap: Used 18 MB
[IntrospectorFilterTest#found_one_instance_full_shared_node() - After] - Heap: Used 2639 MB, Max 7984 MB | Non-Heap: Used 22 MB
[IntrospectorFilterTest#found_one_instance_full_shared_node() - Before] - Heap: Used 2029 MB, Max 7984 MB | Non-Heap: Used 18 MB
[IntrospectorFilterTest#found_one_instance_full_shared_node() - After] - Heap: Used 2481 MB, Max 7984 MB | Non-Heap: Used 22 MB
[IntrospectorFilterTest#found_one_instance_full_shared_node() - Before] - Heap: Used 2331 MB, Max 7984 MB | Non-Heap: Used 18 MB
[IntrospectorFilterTest#found_one_instance_full_shared_node() - After] - Heap: Used 2791 MB, Max 7984 MB | Non-Heap: Used 22 MB
[IntrospectorFilterTest#found_one_instance_full_shared_node() - Before] - Heap: Used 2979 MB, Max 7984 MB | Non-Heap: Used 18 MB
[IntrospectorFilterTest#found_one_instance_full_shared_node() - After] - Heap: Used 2383 MB, Max 7984 MB | Non-Heap: Used 22 MB
