[DemeterDJTest#found_one_instance() - Before] - Heap: Used 93 MB, Max 7984 MB | Non-Heap: Used 22 MB
[DemeterDJTest#found_one_instance() - After] - Heap: Used 149 MB, Max 7984 MB | Non-Heap: Used 23 MB
[DemeterDJTest#found_one_instance() - Before] - Heap: Used 101 MB, Max 7984 MB | Non-Heap: Used 22 MB
[DemeterDJTest#found_one_instance() - After] - Heap: Used 157 MB, Max 7984 MB | Non-Heap: Used 23 MB
[DemeterDJTest#found_one_instance() - Before] - Heap: Used 140 MB, Max 7984 MB | Non-Heap: Used 22 MB
[DemeterDJTest#found_one_instance() - After] - Heap: Used 110 MB, Max 7984 MB | Non-Heap: Used 23 MB
[IntrospectorFilterTest#found_one_instance_full_shared_node() - Before] - Heap: Used 166 MB, Max 7984 MB | Non-Heap: Used 19 MB
[IntrospectorFilterTest#found_one_instance_full_shared_node() - After] - Heap: Used 127 MB, Max 7984 MB | Non-Heap: Used 21 MB
[IntrospectorFilterTest#found_one_instance_full_shared_node() - Before] - Heap: Used 154 MB, Max 7984 MB | Non-Heap: Used 19 MB
[IntrospectorFilterTest#found_one_instance_full_shared_node() - After] - Heap: Used 122 MB, Max 7984 MB | Non-Heap: Used 21 MB
[IntrospectorFilterTest#found_one_instance_full_shared_node() - Before] - Heap: Used 165 MB, Max 7984 MB | Non-Heap: Used 19 MB
[IntrospectorFilterTest#found_one_instance_full_shared_node() - After] - Heap: Used 126 MB, Max 7984 MB | Non-Heap: Used 21 MB
[IntrospectorFilterTest#found_one_instance_full_shared_node() - Before] - Heap: Used 165 MB, Max 7984 MB | Non-Heap: Used 19 MB
[IntrospectorFilterTest#found_one_instance_full_shared_node() - After] - Heap: Used 130 MB, Max 7984 MB | Non-Heap: Used 21 MB
[IntrospectorFilterTest#found_one_instance_full_shared_node() - Before] - Heap: Used 177 MB, Max 7984 MB | Non-Heap: Used 19 MB
[IntrospectorFilterTest#found_one_instance_full_shared_node() - After] - Heap: Used 142 MB, Max 7984 MB | Non-Heap: Used 21 MB
[IntrospectorFilterTest#found_one_instance_full_shared_node() - Before] - Heap: Used 165 MB, Max 7984 MB | Non-Heap: Used 19 MB
[IntrospectorFilterTest#found_one_instance_full_shared_node() - After] - Heap: Used 135 MB, Max 7984 MB | Non-Heap: Used 21 MB
[IntrospectorFilterTest#found_one_instance_full_shared_node() - Before] - Heap: Used 161 MB, Max 7984 MB | Non-Heap: Used 19 MB
[IntrospectorFilterTest#found_one_instance_full_shared_node() - After] - Heap: Used 130 MB, Max 7984 MB | Non-Heap: Used 21 MB
[IntrospectorFilterTest#found_one_instance_full_shared_node() - Before] - Heap: Used 161 MB, Max 7984 MB | Non-Heap: Used 19 MB
[IntrospectorFilterTest#found_one_instance_full_shared_node() - After] - Heap: Used 132 MB, Max 7984 MB | Non-Heap: Used 21 MB
[IntrospectorFilterTest#found_one_instance_full_shared_node() - Before] - Heap: Used 161 MB, Max 7984 MB | Non-Heap: Used 19 MB
[IntrospectorFilterTest#found_one_instance_full_shared_node() - After] - Heap: Used 134 MB, Max 7984 MB | Non-Heap: Used 21 MB
[IntrospectorFilterTest#found_one_instance_full_shared_node() - Before] - Heap: Used 161 MB, Max 7984 MB | Non-Heap: Used 19 MB
[IntrospectorFilterTest#found_one_instance_full_shared_node() - After] - Heap: Used 133 MB, Max 7984 MB | Non-Heap: Used 21 MB
[IntrospectorFilterTest#found_one_instance_full_shared_node() - Before] - Heap: Used 165 MB, Max 7984 MB | Non-Heap: Used 19 MB
[IntrospectorFilterTest#found_one_instance_full_shared_node() - After] - Heap: Used 133 MB, Max 7984 MB | Non-Heap: Used 21 MB
[IntrospectorFilterTest#found_one_instance_independent_path() - Before] - Heap: Used 165 MB, Max 7984 MB | Non-Heap: Used 19 MB
[IntrospectorFilterTest#found_one_instance_independent_path() - After] - Heap: Used 123 MB, Max 7984 MB | Non-Heap: Used 21 MB
[IntrospectorFilterTest#found_one_instance_independent_path() - Before] - Heap: Used 161 MB, Max 7984 MB | Non-Heap: Used 19 MB
[IntrospectorFilterTest#found_one_instance_independent_path() - After] - Heap: Used 96 MB, Max 7984 MB | Non-Heap: Used 21 MB
[IntrospectorFilterTest#found_one_instance_independent_path() - Before] - Heap: Used 162 MB, Max 7984 MB | Non-Heap: Used 19 MB
[IntrospectorFilterTest#found_one_instance_independent_path() - After] - Heap: Used 94 MB, Max 7984 MB | Non-Heap: Used 21 MB
