[DemeterDJTest#found_one_instance()] Graph size: 1, Collections size: 300, Threads: 1, Elapsed time: 399 ms
[DemeterDJTest#found_one_instance()] Graph size: 1, Collections size: 300, Threads: 1, Elapsed time: 478 ms
[DemeterDJTest#found_one_instance()] Graph size: 1, Collections size: 300, Threads: 1, Elapsed time: 441 ms
[IntrospectorFilterTest#found_one_instance_full_shared_node()] Graph size: 1, Collections size: 300, Threads: 1, Elapsed time: 589 ms
[IntrospectorFilterTest#found_one_instance_full_shared_node()] Graph size: 1, Collections size: 300, Threads: 2, Elapsed time: 502 ms
[IntrospectorFilterTest#found_one_instance_full_shared_node()] Graph size: 1, Collections size: 300, Threads: 4, Elapsed time: 515 ms
[IntrospectorFilterTest#found_one_instance_full_shared_node()] Graph size: 1, Collections size: 300, Threads: 6, Elapsed time: 515 ms
[IntrospectorFilterTest#found_one_instance_full_shared_node()] Graph size: 1, Collections size: 300, Threads: 8, Elapsed time: 427 ms
[IntrospectorFilterTest#found_one_instance_full_shared_node()] Graph size: 1, Collections size: 300, Threads: 10, Elapsed time: 524 ms
[IntrospectorFilterTest#found_one_instance_full_shared_node()] Graph size: 1, Collections size: 300, Threads: 12, Elapsed time: 550 ms
[IntrospectorFilterTest#found_one_instance_full_shared_node()] Graph size: 1, Collections size: 300, Threads: 14, Elapsed time: 498 ms
[IntrospectorFilterTest#found_one_instance_full_shared_node()] Graph size: 1, Collections size: 300, Threads: 16, Elapsed time: 357 ms
[IntrospectorFilterTest#found_one_instance_full_shared_node()] Graph size: 1, Collections size: 300, Threads: 18, Elapsed time: 445 ms
[IntrospectorFilterTest#found_one_instance_full_shared_node()] Graph size: 1, Collections size: 300, Threads: 20, Elapsed time: 479 ms
[IntrospectorFilterTest#found_one_instance_independent_path()] Graph size: 1, Collections size: 300, Threads: 1, Elapsed time: 415 ms
[IntrospectorFilterTest#found_one_instance_independent_path()] Graph size: 1, Collections size: 300, Threads: 2, Elapsed time: 445 ms
[IntrospectorFilterTest#found_one_instance_independent_path()] Graph size: 1, Collections size: 300, Threads: 4, Elapsed time: 260 ms
[IntrospectorFilterTest#found_one_instance_independent_path()] Graph size: 1, Collections size: 300, Threads: 6, Elapsed time: 129 ms
[IntrospectorFilterTest#found_one_instance_independent_path()] Graph size: 1, Collections size: 300, Threads: 8, Elapsed time: 108 ms
[IntrospectorFilterTest#found_one_instance_independent_path()] Graph size: 1, Collections size: 300, Threads: 10, Elapsed time: 99 ms
[IntrospectorFilterTest#found_one_instance_independent_path()] Graph size: 1, Collections size: 300, Threads: 12, Elapsed time: 86 ms
[IntrospectorFilterTest#found_one_instance_independent_path()] Graph size: 1, Collections size: 300, Threads: 14, Elapsed time: 102 ms
[IntrospectorFilterTest#found_one_instance_independent_path()] Graph size: 1, Collections size: 300, Threads: 16, Elapsed time: 88 ms
[IntrospectorFilterTest#found_one_instance_independent_path()] Graph size: 1, Collections size: 300, Threads: 18, Elapsed time: 161 ms
[IntrospectorFilterTest#found_one_instance_independent_path()] Graph size: 1, Collections size: 300, Threads: 20, Elapsed time: 71 ms
[DemeterDJTest#not_found_one_instance()] Graph size: 1, Collections size: 300, Threads: 1, Elapsed time: 145921 ms
[DemeterDJTest#not_found_one_instance()] Graph size: 1, Collections size: 300, Threads: 1, Elapsed time: 149011 ms
[DemeterDJTest#not_found_one_instance()] Graph size: 1, Collections size: 300, Threads: 1, Elapsed time: 145428 ms
[IntrospectorFilterTest#not_found_one_instance_full_shared_node()] Graph size: 1, Collections size: 300, Threads: 1, Elapsed time: 48456 ms
